序号,题目（含完整选项）,答案
1,下列关于细胞结构和功能的叙述，正确的  （    ） A. 细胞内核糖体的形成都与细胞核内的核仁有关 B. 绿色植物的体细胞中都有线粒体、大液泡和叶绿体 C. 洋葱根尖细胞中无叶绿体，用根尖细胞培养出的洋葱幼苗属于白化苗 D. 核膜使DNA和蛋白质的合成分别在两个区域内进行，彼此互不干扰,D /n【解析】原核生物与真核生物的主要区别是有无核膜包被的细胞核。 【详解】真核生物核糖体的形成与核仁有关，原核生物无细胞核，故核糖体的形成与核仁无关，A错误；绿色植物的根尖分生区无大液泡和叶绿体，B错误；洋葱根尖培养的幼苗处于光照下可以形成叶绿体，可以形成绿色幼苗，C错误；核膜将核质分离开来，蛋白质的合成在核糖体上，DNA的合成主要在细胞核内，D正确。故选D。
2,下列关于细胞呼吸在生产生活中应用的叙述，错误的是  （    ） A. 给含有酵母菌的发酵液连续通气可以提高产酒量 B. 适当降低温度和氧浓度有利于果蔬储藏 C. 利用乳酸细菌制作酸奶过程中需密闭隔绝空气 D. 黑暗条件下绿豆萌发成豆芽的过程中有机物总量不断减少,A /n【解析】呼吸作用的影响因素有：氧气、温度等。 【详解】酵母菌是兼性厌氧型生物，发酵初期需要氧气进行增殖，后期需要在无氧条件下进行酒精发酵，A错误；果蔬储藏时应该降低呼吸作用消耗，应该在低温和低氧条件下进行，B正确；乳酸菌是厌氧型生物，乳酸发酵时需要处于无氧环境中，C正确；黑暗下，豆芽只能进行呼吸作用，不能进行光合作用，故有机物总量会下降，D正确。故选A。
3,有人将大肠杆菌的DNA聚合酶、4种脱氧核苷三磷酸(其中的脱氧腺苷三磷酸即dATP已被某种放射性同位素标记)、微量的T2噬菌体DNA的混合液在有Mg2+存在的条件下于37℃时静置30min，检测发现，DNA分子被该种放射性同位素标记。下列关于该实验的叙述，正确的是  （    ） A. 无DNA合成，因为缺乏能量供应 B. 无DNA合成，因为细菌DNA聚合酶不能催化噬菌体的DNA复制 C. 有DNA合成，新合成DNA的碱基序列与T2噬菌体相同 D. 有DNA合成，新合成DNA的碱基序列与大肠杆菌相同,C /n【解析】脱氧腺苷三磷酸即dATP带放射性标记，它是DNA的基本单位，模板只有T2噬菌体DNA，静置30min，检测发现，DNA分子被该种放射性同位素标记，说明有新的DNA合成，故推测DNA发生了复制。 【详解】dATP是DNA的合成原料之一，静置30min，检测发现，DNA分子被该种放射性同位素标记，说明有新的DNA合成，而混合液中模板只有噬菌体的DNA，故推测是以噬菌体的DNA为模板进行了DNA的复制，子代DNA与噬菌体的DNA相同。综上所述，ABD不符合题意，C符合题意。
4,1914年，匈牙利科学家拜尔将燕麦胚芽鞘尖端放在去除尖端的胚芽鞘的一侧，结果胚芽鞘向对侧弯曲生长，证明了胚芽鞘的弯曲生长，是因为尖端产生的影响在其下部分布不均匀造成的。拜尔这个实验的对照组可以设计为  （    ） A. 去除胚芽鞘的尖端，单侧光照射 B. 去除胚芽鞘的尖端，遮光处理 C. 将燕麦胚芽鞘尖端放在去除尖端的胚芽鞘的正中，单侧光照射 D. 将燕麦胚芽鞘尖端放在去除尖端的胚芽鞘的正中，遮光处理,D /n【解析】拜尔的实验是在黑暗条件下进行的，故对照组也应该遮光处理。自变量应该是尖端的位置，因变量是胚芽鞘的生长情况。 【详解】拜尔证明了胚芽鞘的弯曲生长，是因为尖端产生的影响在其下部分布不均匀造成的。自变量应该是尖端所放的位置，应变量为胚芽鞘的生长情况，该实验无光的影响。故对照组应该为：将燕麦胚芽鞘尖端放在去除尖端的胚芽鞘的正中，遮光处理，预期结果：胚芽鞘应该直立生长。综上所述，ABC不符合题意，D符合题意。故选D。
5,人的X染色体和Y染色体大小、形态不完全相同，但存在着同源区(Ⅱ)和非同源区(Ⅰ、Ⅲ)(如图所示)。由此可以推测  （    ） A. Ⅱ片段上有控制男性性别决定的基因 B. Ⅱ片段上某基因控制的遗传病，患病率与性别有关 C. Ⅲ片段上某基因控制的遗传病，患者全为女性 D. Ⅰ 片段上某隐性基因控制的遗传病，女性患病率高于男性,B /n【解析】据图可知，控制男性性别决定的基因位于Ⅲ中，故A错误；Ⅱ片段是X和Y染色体的同源区段，其中基因控制的遗传病与性别有关，故B正确；Ⅲ片段是Y染色体特有的片段，因此Ⅲ片段上的遗传病，后代患者都是男性，故C错误；Ⅰ片段是X染色体特有的片段，若其上含有隐性致病基因，则后代男患者的数量多于女性患者，故D错误。 考点：本题主要考查伴性遗传，意在考查考生能用文字、图表以及数学方式等多种表达形式准确地描述生物学方面的内容的能力。
6,红蟋蟀、滨州蟋蟀和富尔顿蟋蟀形态相同，鸣声的强弱和频率不同，交配只在发生同一鸣声的种内进行。下列叙述正确的是  （    ） A. 蟋蟀之间的鸣声属于物理信息，物理信息只能来自生物 B. 红蟋蟀中出现了新基因，则该种群发生了进化 C. 红蟋蟀、滨州蟋蟀和富尔顿蟋蟀属于同一物种 D. 若滨州蟋蟀和富尔顿蟋蟀之间形成杂交种，则一定是可育后代 2020年高考生物选择题专项训练（02）,B /n【解析】生态系统中的信息分为物理信息如光、声等，化学信息如生物碱、有机酸等物质，行为信息如动物的行为，生态系统中的信息既可来来自于各种生物，也可来源于无机环境；现代生物进化理论认为，生物进化的基本单位是种群，生物进化的实质就是种群基因频率发生定向改变；不同物种之间一般是不能相互交配的，即使交配成功，也不能产生可育的后代，即存在生殖隔离，生殖隔离可分为：生态隔离、季节隔离、性别隔离、行为隔离、杂种不育等。 【详解】A. 生态系统中物理信息的来源可以来自无机环境或生物，A错误；B. 红蟋蟀中出现了新基因，则种群基因频率发生了改变，该种群发生了进化，B正确；C. 红蟋蟀、滨州蟋蟀和富尔顿蟋蟀鸣声的强弱和频率不同，交配只在发生同一鸣声的种内进行，说明它们之间不能交配，存在生殖隔离，因此它们属于不同的物种，C错误；D. 滨州蟋蟀和富尔顿蟋蟀之间存在生殖隔离，它们形成的杂交种是不育的，D错误。 2020年高考生物选择题专项训练（02）
1,"下列关于人体细胞有氧呼吸和无氧呼吸相同点的叙述，错误的是  （    ） A. 都能生成三磷酸腺苷	B. 都在生物膜上完成反应 C. 都需要多种酶的催化	D. 都能产生丙酮酸和NADH",B /n【解析】人体有氧呼吸和无氧呼吸都可以产生ATP（三磷酸腺苷），A正确；无氧呼吸在细胞质基质种进行，有氧呼吸在细胞质基质、线粒体基质、线粒体内膜发生，B错误；人体细胞有氧呼吸和无氧呼吸都需要一系列酶的催化，C正确；人体细胞有氧呼吸和无氧呼吸都能产生丙酮酸和NADH，D正确。
2,若用较低浓度的生长素处理未授粉的番茄雌蕊柱头，可能产生的结果是  （    ） A. 促进番茄果实细胞中快速合成大量乙烯 B. 促进番茄雌蕊子房逐渐发育成无子果实 C. 使番茄果肉细胞的染色体数目发生改变 D. 诱发减数分裂中的同源染色体联会紊乱,B /n【解析】生长素处理未授粉的雌蕊可以获得无子果实，生长素具有两重性：低浓度促进高浓度抑制。 【详解】A、生长素能促进果实发育，而不是促进番茄果实细胞中快速合成大量乙烯，A错误；B、生长素能促进果实发育，用较低浓度的生长素处理未授粉的番茄雌蕊柱头，能促进番茄雌蕊子房逐渐发育成无子果实，B正确； C、由于番茄果肉是由体细胞发育而成，细胞不进行有丝分裂，染色体数目和受精卵染色体数目相同，C错误； D、生长素不能诱发减数分裂中的同源染色体联会紊乱，D错误。 【点睛】生长素处理获得的无子果实属于不可遗传的变异；无子西瓜发生了染色体变异，属于可遗传变异。
3,下列关于染色体组和染色体变异的叙述，正确的是  （    ） A. 不同物种的染色体组中可能含有相同数目的染色体 B. 染色体组整倍性的变化必然会导致基因种类的增加 C. 染色体之间部分片段的交换属于染色体的结构变异 D. 进行有性生殖的生物配子中的染色体为一个染色体组,A /n【解析】染色体组指细胞中一组非同源染色体，在形态和功能上各不相同，携带着控制生物生长发育的全部遗传信息，这样的一组染色体，叫做一个染色体组。 可遗传的变异包括：基因突变、基因重组和染色体变异。 【详解】不同物种的一个染色体组中染色体的数目有可能相同，如二倍体西瓜和四倍体西瓜，A正确；染色体组整倍性的变化不一定导致基因种类的增加，如AA→AAAA，B错误；非同源染色体之间互换片段属于染色体的结构变异，同源染色体之间互换片段属于基因重组，C错误；进行有性生殖的生物配子中的染色体不一定为一个染色体组，如四倍体西瓜产生的配子中含有2个染色体组，D错误。故选A。
4,下列有关现代生物进化理论的叙述，正确的是（   ） A. 种群是生物进化的基本单位，种群越大进化越快 B. 变异的不定向性会导致生物向着不同的方向进化 C. 自然选择的直接对象是生物的基因型而不是表现型 D. 地理隔离和生殖隔离都会阻止生物之间的基因交流,D /n【解析】种群是生物进化的基本单位，生物进化的实质是种群基因频率的改变。突变和基因重组、自然选择及隔离是物种形成过程的三个基本环节，通过它们的综合作用，种群产生分化，最终导致新物种形成。在这个过程中，突变和基因重组产生生物进化的原材料，自然选择使种群的基因频率发生定向改变，因此自然选择决定生物进化的方向，隔离是新物种形成的必要条件。 【详解】种群是生物进化的基本单位，种群进化的实质是基因频率的改变，其进化快慢与基因频率改变有关，种群越大不一定进化越快，A错误；变异是生物进化的基础，变异的不定向性只是为生物进化提供了可供选择的材料，而自然选择决定生物进化的方向，B错误；自然选择的直接对象是生物的表现型，而实质是选择的基因，C错误；地理隔离和生殖隔离都会阻止生物之间的基因交流，生殖隔离是形成新物种的标志，D正确。
